Germany 1989		
Berlin	0	15.02373182
Hamburg	0.6931471806	14.2874311
München	1.098612289	14.00746639
Köln	1.386294361	13.75095284
Frankfurt am Main	1.609437912	13.34591964
Essen	1.791759469	13.33843236
Dortmund	1.945910149	13.28333872
Dusseldorf	2.079441542	13.25276162
Stuttgart	2.197224577	13.24042726
Bremen	2.302585093	13.19013043
Leipzig	2.397895273	13.18065115
Duisburg	2.48490665	13.17580367
Dresden	2.564949357	13.12519337
Hannover	2.63905733	13.11934884
Nürnberg	2.708050201	13.08170387
Bochum	2.772588722	12.87155825
Wuppertal	2.833213344	12.82471985
Bielefeld	2.890371758	12.65058537
Chemnitz	2.944438979	12.61791074
Mannheim	2.995732274	12.61309654
Magdeburg	3.044522438	12.57194764
Gelsenkirchen	3.091042453	12.5681256
Bonn	3.135494216	12.55033588
Karlsruhe	3.17805383	12.48786239
Wiesbaden	3.218875825	12.44591204
-1.404	20.757	
